영화명,영화코드,개봉일,F-rated,장르,등급,영화구분,제작사,배급사,상영횟수,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,감독1필모,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배우코드,배우성별,배우_대표역할,배우필모
위선자들,20163218,2015-11-26,1,드라마,청소년관람불가,독립/예술영화,(주)영화사메이플러스,"THE 픽쳐스,주식회사 마운틴픽쳐스",297,82,65152600.0,9566,31093500,4086,우키시마호|김대중 위대한 유산|위선자들: 감독판|위선자들|회초리|여고생 시집가기,김진홍,10005961.0,남자,-,-,-,-,-,-,-,-,-,김충렬,김충렬,김충렬,20171223,남자,시나리오(각본),위선자들|캐치미|슈퍼맨 강보상,"권민중,김정균,장두이,최할리,신소미,경준,송은진,주연서,나동주,류제현,문진영,안정균,이태헌,임창용,조솔",권민중,10002374,여자,배우,위선자들: 감독판|위선자들|란제리살인사건|삼인삼색 - 로드스타|인터뷰|해가 서쪽에서 뜬다면|투캅스 3
나쁜 나라,20156047,2015-12-03,2,다큐멘터리,12세이상관람가,독립/예술영화,4.16 세월호 참사 시민기록위원회,"<나쁜 나라> 배급위원회,(주)시네마달",1044,19,139403400.0,20803,60590000,8452,"나쁜 나라|진옥 언니 학교 가다|잊혀진 여전사|땅, 밥 만들기|남매와 진달래 |독립영화인 국가보안법 철폐 프로젝트",김진열,10005927.0,여자,이수정,10056156.0,여자,정일건,10062151.0,남자,-,-,-,신범숙,신범숙,신범숙,20229759,여자,시나리오(각본),나쁜 나라,"최경덕,박지민",최경덕,20228869,남자,배우,소공녀|나쁜 나라
극적인 하룻밤,20157501,2015-12-03,0,"멜로/로맨스,코미디",청소년관람불가,일반영화,"(주)연우무대,(주)인사이드픽쳐스",CGV아트하우스,18361,434,2610929429.0,320923,778081829,92279,"극적인 하룻밤|라듸오 데이즈|내 사랑 십자 드라이버, 사이코드라마(단편)",하기호,10086669.0,남자,-,-,-,-,-,-,-,-,-,하기호,하기호,하기호,10086669,남자,감독,"극적인 하룻밤|라듸오 데이즈|내 사랑 십자 드라이버, 사이코드라마(단편)","윤계상,한예리,박효주,조복래,박병은,정수영,조영균,한정국,김수정,한지은,이지훈,정수연,김재화,박현지,진선규,김의성,하정완",윤계상,10054204,남자,배우,유체이탈자(가제)|말모이|골든슬럼버|범죄도시|죽여주는 여자|극적인 하룻밤|소수의견|레드카펫|배우수업|풍산개|조금만 더 가까이|집행자|비스티 보이즈|6년째 연애중|발레 교습소|사랑의 가위바위보
앨리스: 원더랜드에서 온 소년,20141002,2015-12-10,2,"판타지,공포(호러),멜로/로맨스",15세이상관람가,독립/예술영화,"(주)유비콘텐츠,주식회사 유비컬쳐",(주)영화사 안다미로,644,59,65914100.0,8873,28058300,3421,앨리스: 원더랜드에서 온 소년|심장이 뛰네,허은희,20111756.0,여자,-,-,-,-,-,-,-,-,-,"허은희, 지재형",허은희,허은희,20111756,여자,감독,앨리스: 원더랜드에서 온 소년,"홍종현,정소민,정연주,이승연,서갑숙,이고은,장서원,김준형,최윤,이혜인,원예준,박현숙",홍종현,20112211,남자,배우,"다시, 봄|앨리스: 원더랜드에서 온 소년|위험한 상견례 2|여자만화 구두|정글피쉬2|바다 쪽으로, 한 뼘 더|쌍화점|헤이, 톰 |귀 鬼(내곁에 있어줘 편)"
그들이 죽었다,20141583,2015-12-10,0,"판타지,드라마",15세이상관람가,독립/예술영화,사십이,㈜인디스토리,244,17,16054000.0,2221,14055000,1931,시민 노무현|대관람차|꿈의 제인|마차 타고 고래고래|마이 페어 웨딩|그들이 죽었다|사랑에도 저작권이 있나요?|플랑크 상수|산타바바라|그 강아지 그 고양이|고양이 소녀|별일아니다|캠퍼스 S 커플|캣데이 애프터눈,백재호,20177441.0,남자,-,-,-,-,-,-,-,-,-,백재호,백재호,백재호,20177441,남자,감독,시민 노무현|대관람차|꿈의 제인|마차 타고 고래고래|마이 페어 웨딩|그들이 죽었다|사랑에도 저작권이 있나요?|플랑크 상수|산타바바라|그 강아지 그 고양이|고양이 소녀|별일아니다|캠퍼스 S 커플|캣데이 애프터눈,"김상석,이화,백재호,권성모,김태희,조수향",김상석,10004413,남자,배우,마차 타고 고래고래|그들이 죽었다|플랑크 상수|산타바바라|별일아니다|아스라이
타이밍,20141598,2015-12-10,1,애니메이션,15세이상관람가,독립/예술영화,"(주)효인엔터테인먼트,베데코리아",(주)스톰픽쳐스코리아,2835,196,284085200.0,37711,100876200,12633,타이밍|애니 프란체스카,민경조,10027767.0,남자,박대열,10028546.0,남자,-,-,-,-,-,-,"이언희, 이권",이언희,이언희,10056602,여자,감독,탐정: 리턴즈|미씽: 사라진 여자|타이밍|어깨 너머의 연인|해피 에로 크리스마스|...ing|고양이를 부탁해,"엄상현,박지윤,성완경",엄상현,10047326,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
불안한 외출,20141703,2015-12-10,0,다큐멘터리,15세이상관람가,독립/예술영화,다큐창작소,"홀리가든,불안한외출배급위원회",93,7,12845600.0,1958,8599000,1227,불안한 외출|걸음의 이유,김철민,20173380.0,남자,-,-,-,-,-,-,-,-,-,"김철민, 류성",김철민,김철민,20173380,남자,감독,불안한 외출,"윤기진, 황선, 윤민, 윤겨레",윤기진,0,남자,배우,불안한 외출
타투,20147130,2015-12-10,0,스릴러,청소년관람불가,일반영화,"(주)다세포클럽,(주)코리아스토리",와이드 릴리즈(주),1224,133,99263100.0,12103,31315000,3727,춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',이서,10055931.0,남자,-,-,-,-,-,-,-,-,-,이서,이서,이서,10055931,남자,감독,춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',"송일국,윤주희,권현상,서영,조혜인,조훈휘,최상민,허윤원,김수환,김은희,김지은,박범준,안지호,이은주,한제인,한기중,박지수",송일국,10037179,남자,배우,플라이 하이|타투|현기증|작업의 정석|레드 아이
파일 : 4022일의 사육,20149299,2015-12-10,0,"미스터리,스릴러",청소년관람불가,일반영화,활동사진,골든타이드픽처스(주),93,20,9090000.0,1414,3164000,461,두번할까요|파일 : 4022일의 사육|황구|웨딩드레스|용의주도 미스신|아라한 장풍대작전|블루|2424,박용집,10028999.0,남자,-,-,-,-,-,-,-,-,-,"박기형, 배영란",박기형,박기형,10028514,남자,감독,잠식|파일 : 4022일의 사육|폭력써클|아카시아(Acacia)|비밀|여고괴담|과대망상,"이종혁,강별,하연주,김형범,류현,이광모,조선묵,박효준,최우리",이종혁,10057411,남자,배우,두번할까요|출국|여중생A|엄마의 공책|파일 : 4022일의 사육|돼지 같은 여자|가디언즈|푸른소금|평행이론|미쓰 홍당무|라듸오 데이즈|용의주도 미스신|바람피기 좋은 날|죽음의 숲-어느날 갑자기 네번째 이야기|비열한 거리|미스터 소크라테스|신석기 블루스|말죽거리 잔혹사
뽀로로 극장판 컴퓨터 왕국 대모험,20156807,2015-12-10,1,애니메이션,전체관람가,일반영화,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),12960,544,3290582700.0,445014,659878500,84092,뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|Painter,박영균,10028920.0,남자,-,-,-,-,-,-,-,-,-,"박영균, 김은숙, 이인균",박영균,박영균,10028920,남자,감독,뽀로로 극장판 컴퓨터 왕국 대모험|뽀로로 극장판 슈퍼썰매 대모험|Painter,"이선,이미자,함수정,홍소영,정미숙,김서영,김환진,엄상현,홍범기",이선,10055966,여자,배우,뽀로로 극장판 보물섬 대모험|뽀로로 극장판 공룡섬 대모험|모험왕 블링키|짐작보다 따뜻하게|뽀로로 극장판 컴퓨터 왕국 대모험|극장판 아이엠스타 : 꿈의 오디션!|꼬마영웅 경찰차 프로디2|뽀로로 극장판 슈퍼썰매 대모험|모모와 다락방의 수상한 요괴들|꼬마영웅 경찰차 프로디|뽀로로의 대모험|뽀로로 극장판 눈요정 마을 대모험
히말라야,20136068,2015-12-16,0,드라마,12세이상관람가,일반영화,(주)제이케이필름,씨제이이앤엠(주),142715,1009,60173583015.0,7759473,13920553930,1738016,히말라야|해적: 바다로 간 산적|뜨거운 안녕|댄싱퀸|두 얼굴의 여친|방과후 옥상|이조여인 숙명사 청상계|순간접착제|포 더 피스 오브 올 맨카인드,이석훈,10055965.0,남자,-,-,-,-,-,-,-,-,-,"수오, 민지은",수오,수오,20185670,남자,시나리오(각본),히말라야|스파이,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률,조달환,김태강,권오상,손영순",황정민,10090290,남자,배우,"인질(가제)|다만 악에서 구하소서|공작|군함도|군함도 감독판|아수라|곡성|검사외전|히말라야|베테랑|국제시장|남자가 사랑할 때|전설의 주먹|신세계|댄싱퀸|모비딕|평양성|부당거래|끝과 시작|구르믈 버서난 달처럼|그림자 살인|슈퍼맨이었던 사나이|행복|검은 집|사생결단|내 생애 가장 아름다운 일주일|너는 내 운명|천군|달콤한 인생|여자, 정혜|마지막 늑대|바람난 가족|이공|로드무비|YMCA야구단|와이키키 브라더스|쉬리|그녀|오감도"
대호,20145171,2015-12-16,0,사극,12세이상관람가,일반영화,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),44821,892,13489904632.0,1762742,3054751306,383850,낙원의 밤|마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,박훈정,10029578.0,남자,-,-,-,-,-,-,-,-,-,박훈정,박훈정,박훈정,10029578,남자,감독,낙원의 밤|마녀|브이아이피|대호|신세계|혈투|부당거래|악마를 보았다,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이나라,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환",최민식,10072251,남자,배우,"천문: 하늘에 묻는다|침묵|특별시민|대호|루시|명량|신세계|범죄와의 전쟁: 나쁜놈들 전성시대|마당을 나온 암탉|악마를 보았다|악마를 보았다 감독판|히말라야, 바람이 머무는 곳|친절한 금자씨|주먹이 운다(Crying Fist)|꽃피는 봄이 오면|올드보이|오원 장승업 취화선|취화선|파이란|해피엔드|쉬리|조용한 가족|넘버 3|사라는 유죄|우리사랑 이대로|우리들의 일그러진 영웅|추락하는 것은 날개가 있다|구로 아리랑|인형의 꿈|겨울의 길목"
"나의 아들, 나의 어머니",20133531,2015-12-17,1,다큐멘터리,전체관람가,독립/예술영화,"창작집단917,민프로덕션",(주)인디플러그,430,24,27382300.0,3860,7922500,1055,"덫|왕초와 용가리|아빠가 돌아왔다|나의 아들, 나의 어머니|욕망의 독: 중독|시바, 인생을 던져|춤추는 숲|오래된 인력거",안재민,20138626.0,남자,-,-,-,-,-,-,-,-,-,안재민,안재민,안재민,20138626,남자,감독,"덫|왕초와 용가리|아빠가 돌아왔다|나의 아들, 나의 어머니|욕망의 독: 중독|시바, 인생을 던져|춤추는 숲|오래된 인력거","권기선, 이준교",권기선,0,여자,배우,"나의 아들, 나의 어머니"
인 허 플레이스,20152368,2015-12-17,1,드라마,청소년관람불가,독립/예술영화,Timelapse pictures,홀리가든,239,15,11382000.0,1518,8955500,1147,인 허 플레이스,알버트 신,20212728.0,남자,-,-,-,-,-,-,-,-,-,알버트 신,알버트 신,알버트 신,20212728,남자,감독,인 허 플레이스,"윤다경,길해연,안지혜",윤다경,10054226,여자,배우,나를 잊지 말아요|인 허 플레이스|그놈이다|특종: 량첸살인기|다우더|인간중독|레드카펫|터치|콩가네|사물의 비밀|링크|초능력자|꿈은 이루어진다|야윈가슴|백야행|유감스러운 도시|D-day-어느날 갑자기 세번째 이야기|연애|범죄의 재구성|밀애|구두의 주인을 찾습니다|진통제|액체들
조선마술사,20144442,2015-12-30,0,드라마,12세이상관람가,일반영화,위더스필름(주),롯데컬처웍스(주)롯데엔터테인먼트,18630,608,4650016527.0,628576,1107370838,144953,조선마술사|후궁 : 제왕의 첩|연인|가을로|혈의 누|하류인생|번지점프를 하다|춘향뎐(春香傳)|창(노는계집 창)|서편제|백문백답,김대승,10003845.0,남자,-,-,-,-,-,-,-,-,-,"김대승, 조정화",김대승,김대승,10003845,남자,감독,조선마술사|후궁 : 제왕의 첩|연인|가을로|혈의 누|하류인생|번지점프를 하다|춘향뎐(春香傳)|창(노는계집 창)|서편제|백문백답,"유승호,고아라,곽도원,조윤희,이경영,박철민,손병호,조달환,서범식,김지민,이재웅,최광락,장유상,임종윤,박충선,김태준,이가경,염혜란,이수인",유승호,10053782,남자,배우,봉이 김선달|조선마술사|블라인드|마당을 나온 암탉|아스트로 보이-아톰의 귀환|부산|4교시 추리영역|서울이 보이냐|마음이...|돈 텔 파파|집으로...|기억의 조각들
내부자들: 디 오리지널,20150025,2015-12-31,0,"범죄,드라마",청소년관람불가,일반영화,(유)내부자들 문화전문회사,(주)쇼박스,47244,838,16973885275.0,2083999,4701340971,564863,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,우민호,20111283.0,남자,-,-,-,-,-,-,-,-,-,우민호,우민호,우민호,20111283,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철",이병헌,10055626,남자,배우,"비상선언|백두산|남산의 부장들|그것만이 내 세상|남한산성|싱글라이더|마스터|매그니피센트 7|밀정|미스컨덕트|내부자들: 디 오리지널|내부자들|협녀, 칼의 기억|터미네이터 제니시스|레드: 더 레전드|지.아이.조 2|광해, 왕이 된 남자|인플루언스|악마를 보았다|악마를 보았다 감독판|아이리스 더 무비|지.아이.조 : 전쟁의 서막|나는 비와 함께 간다|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|그해 여름|달콤한 인생|누구나 비밀은 있다|쓰리, 몬스터 '컷'|중독|마리이야기|번지점프를 하다|공동경비구역 JSA|내 마음의 풍금|지상만가|그들만의 세상|아마게돈|런어웨이|누가 나를 미치게 하는가|쉐어 더 비전|쓰리 몬스터"
나를 잊지 말아요,20142641,2016-01-07,2,멜로/로맨스,15세이상관람가,일반영화,(주)더블유 팩토리,씨제이이앤엠(주),19144,559,3398915000.0,425799,980935100,117670,"나를 잊지 말아요|고스톱 살인|좋은 놈, 나쁜 놈, 이상한 놈 |달콤, 살벌한 연인|나를 잊지 말아요",이윤정,20065265.0,여자,-,-,-,-,-,-,-,-,-,이윤정,이윤정,이윤정,20065265,여자,감독,"나를 잊지 말아요|고스톱 살인|좋은 놈, 나쁜 놈, 이상한 놈 |달콤, 살벌한 연인|나를 잊지 말아요","정우성,김하늘,배성우,장영남,조이진,임주은,허진,이준혁,온주완,권해효,김봉근,윤다경,임태호,박지원,이상훈,이승원,이우주,이은이,최준환",정우성,10062025,남자,배우,"지푸라기라도 잡고 싶은 짐승들|정상회담|증인|인랑|그날, 바다|강철비|더 킹|아수라|나를 잊지 말아요|마담 뺑덕|신의 한 수|세가지 색 - 삼생|감시자들|아테나: 전쟁의 여신|검우강호|호우시절|좋은 놈, 나쁜 놈, 이상한 놈 |좋은 놈, 나쁜 놈, 이상한 놈(칸버전)|중천|데이지|새드무비|내 머리 속의 지우개|똥개|무사|러브(LOVE)|유령|태양은 없다|모텔 선인장|비트|상해탄 |본 투 킬|구미호|경계에서|선물|방아쇠"
잡아야 산다,20152370,2016-01-07,0,"코미디,액션",15세이상관람가,일반영화,더퀸디앤엠 주식회사,오퍼스픽쳐스(유),3189,219,410361400.0,54450,91032800,11245,아나운서 살인사건|13일의 금요일 : 음모론의 시작|디엠지:리로드|데스트랩|폴리스 스파이|야경 : 죽음의 택시|월하|잡아야 산다|십이야: 깊고 붉은 열두 개의 밤 Chapter1|소녀괴담|모멘트|한중10년의 동행: 한예종 영상원/북경영화학교 합작영화 10주년 작품전,오인천,20188088.0,남자,-,-,-,-,-,-,-,-,-,오인천,오인천,오인천,20188088,남자,감독,아나운서 살인사건|13일의 금요일 : 음모론의 시작|디엠지:리로드|데스트랩|폴리스 스파이|야경 : 죽음의 택시|월하|잡아야 산다|십이야: 깊고 붉은 열두 개의 밤 Chapter1|소녀괴담|모멘트|한중10년의 동행: 한예종 영상원/북경영화학교 합작영화 10주년 작품전,"김승우,김정태,한상혁,신강우,김민규,문용석,오만석,최호중,이해준,조창근,윤다영,서범식,이한위,안길강,장현기,장훈남,박혜미,정구영,서경배,정인혜,손지훈,정혜연,조권수,강현우,윤진영,이동진,이민경,이상헌,이선미,이승연,김욱,김영",김승우,10004823,남자,배우,"두 번째 스물|잡아야 산다|배꼽|나는 아빠다|포화속으로|아이리스 더 무비|컬링 러브|연애, 그 참을 수 없는 가벼움|해변의 여인|천군|불어라 봄바람|역전에 산다|라이터를 켜라|예스터데이|비밀|신장개업|남자의 향기|꽃을 든 남자|깊은 슬픔|고스트 맘마|너희가 재즈를 믿느냐|코르셋|결혼만들기|장군의 아들 3|장군의 아들"
그날의 분위기,20068576,2016-01-14,2,멜로/로맨스,15세이상관람가,일반영화,영화사 문(주),(주)쇼박스,27186,592,5142899612.0,652453,1404786825,171304,목격자|그날의 분위기|낙타는 말했다|봉수,조규장,10065265.0,남자,-,-,-,-,-,-,-,-,-,민소연,민소연,민소연,20148725,여자,각색,그날의 분위기|나의 사랑 나의 신부|건축학개론|그해 여름,"김정희,문채원,유연석,조재윤,김슬기,이해영,이연두,박민우,이창해,인교진,임영,박태영,정경옥,박호진,정라엘,서정희,오형근,이범희,이은정,이정은",김정희,20242106,여자,배우,군산: 거위를 노래하다|속닥속닥|덕혜옹주|부산행|그날의 분위기
거미의 땅,20120422,2016-01-14,3,다큐멘터리,15세이상관람가,독립/예술영화,(주)시네마달,(주)시네마달,114,6,6445100.0,1017,5651000,887,임신한 나무와 도깨비|거미의 땅|아메리칸 앨리|로스트&파운드,김동령,10003940.0,여자,박경태,10028435.0,남자,-,-,-,-,-,-,"김동령, 박경태",김동령,김동령,10003940,여자,감독,임신한 나무와 도깨비|거미의 땅|아메리칸 앨리|로스트&파운드,-,박묘연,0,여자,배우,거미의 땅
프랑스 영화처럼,20158824,2016-01-14,1,드라마,15세이상관람가,독립/예술영화,(주) 루스이소니도스,(주)콘텐츠판다,714,30,37782300.0,4881,30072800,3754,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",신연식,10040499.0,남자,-,-,-,-,-,-,-,-,-,신연식,신연식,신연식,10040499,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자","이영란,전지윤,다솜,정준원,소이,스티븐 연,신민철,봉만대,후지이 미나,정한비,신지수,이유미",이영란,10056645,여자,배우,프랑스 영화처럼
극장판 꼬마버스 타요의 에이스 구출작전,20150566,2016-01-21,1,애니메이션,전체관람가,일반영화,"(주)아이코닉스,(주)스튜디오게일",(주)아이코닉스,5397,200,906299900.0,135478,190910800,27929,띠띠뽀 띠띠뽀|꼬마버스 타요 5기 + 타요의 씽씽 극장 2기|띠띠뽀 띠띠뽀 시즌1 / 꼬마버스 타요 시즌5|극장판 꼬마버스 타요의 에이스 구출작전|마당을 나온 암탉|천년여우 여우비|살결|띠띠뽀 띠띠뽀|꼬마버스 타요|세 번째 소원,류정우,10019108.0,남자,-,-,-,-,-,-,-,-,-,"공병필, 박은설",공병필,공병필,20254330,남자,시나리오(각본),극장판 꼬마버스 타요의 에이스 구출작전,"문남숙, 정혜옥, 최하나, 김영선, 전숙경, 김은아, 엄상현, 신용우",문남숙,10026677,여자,배우,극장판 꼬마버스 타요의 에이스 구출작전
하프,20151224,2016-01-21,2,드라마,청소년관람불가,독립/예술영화,"영화사 민들레,하트박스(주)",(주)인디플러그,114,10,4166700.0,538,2940200,354,하프|왓니껴|본아베띠 화려한 음식|본아베띠 자극적인 음식|본아베띠 맛있는 음식|추격자|데뷔,김세연,10004672.0,여자,-,-,-,-,-,-,-,-,-,김세연,김세연,김세연,10004672,여자,감독,하프|왓니껴|본아베띠 화려한 음식|본아베띠 자극적인 음식|본아베띠 맛있는 음식|추격자|데뷔,"안용준,정유석,문세윤,송영규,조덕제,이재헌,박혜영,박효진,정동석,손지훈,이경철,김기주,김근영,김대현,이세랑,이양희",안용준,20231106,남자,배우,하프
오빠생각,20158483,2016-01-21,0,"드라마,전쟁",12세이상관람가,일반영화,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),44801,855,8058857287.0,1069436,1899517093,242400,증인|오빠생각|손님|연애의 맛|오늘의 연애|우아한 거짓말|완득이|내 사랑|청춘만화|하늘정원|연애소설,이한,10058005.0,남자,-,-,-,-,-,-,-,-,-,이우탁,이우탁,이우탁,20209306,남자,시나리오(각본),오빠생각,"김현빈,임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용,탕준상,김대현,여윤호,이현정,박수영,김푸름,김향기,장준휘,이정현,손영순,박지연",김현빈,20304870,남자,배우,여중생A|물속에서 숨 쉬는 법|아수라|오빠생각
"로봇, 소리",20157466,2016-01-27,1,드라마,12세이상관람가,일반영화,"(주)영화사 좋은날,(주)디씨지플러스",롯데컬처웍스(주)롯데엔터테인먼트,25502,609,3519595560.0,476665,951166060,126118,"로봇, 소리|작전|네번째 층 - 어느날 갑자기 두번째 이야기",이호재,10058219.0,남자,-,-,-,-,-,-,-,-,-,"이소영, 이호재",이소영,이소영,10056115,여자,시나리오(각본),"로봇, 소리|미확인 동영상 : 절대클릭금지|흑심모녀|아파트|여고괴담 세번째 이야기: 여우계단|화성으로 간 사나이","이성민,이희준,이하늬,김원해,채수빈,심은경,곽시양,이영진,이무생,남연우,전국환,류준열,박영수,이현석,박정민,박지훈,안광복,유민상,이상우,이승준,노소영,차순배",이성민,20110148,남자,배우,"비스트|제8일의 밤|남산의 부장들|리멤버|미스터 주(가제)|마약왕|목격자|공작|바람 바람 바람|리얼|보안관|굿바이 싱글|검사외전|로봇, 소리|손님|빅매치|군도: 민란의 시대|방황하는 칼날|관능의 법칙|변호인|마이 리틀 히어로|베스트셀러|카페 느와르|비단구두|블랙&화이트"
파리의 한국남자,20142401,2016-01-28,0,드라마,청소년관람불가,독립/예술영화,"(주)동녘필름,주식회사 마운틴픽쳐스,네온프로덕션",(주)모멘텀엔터테인먼트,471,24,21733000.0,2951,13772500,1806,"아메리카 타운|파리의 한국남자|콘돌은 날아간다|핑크|영도 다리|히말라야, 바람이 머무는 곳|검은 땅의 소녀와|가족초상화|개와 늑대 사이의 시간|나는 나를 파괴할 권리가 있다|새는 폐곡선을 그린다|내 안에 우는 바람",전수일,10061331.0,남자,-,-,-,-,-,-,-,-,-,전수일,전수일,전수일,10061331,남자,감독,"아메리카 타운|파리의 한국남자|콘돌은 날아간다|핑크|영도 다리|히말라야, 바람이 머무는 곳|검은 땅의 소녀와|가족초상화|개와 늑대 사이의 시간|나는 나를 파괴할 권리가 있다|새는 폐곡선을 그린다|내 안에 우는 바람","조재현,팽지인,서양선,유나론",조재현,10066929,남자,배우,봉이 김선달|나홀로 휴가|파리의 한국남자|역린|뫼비우스|무게|콘돌은 날아간다|더 킥|인플루언스|집행자|마린보이|천년학|한반도|로망스|맹부삼천지교|목포는 항구다|청풍명월(淸風明月)|스턴트맨|나쁜 남자|수취인불명|교도소 월드컵|얼굴|처녀들의 저녁식사|야생동물보호구역|내 안에 우는 바람|악어|카루나|영원한 제국|가슴에 돋는 칼로 슬픔을 자르고
울보,20158742,2016-01-28,0,드라마,청소년관람불가,독립/예술영화,영화사 소일,오퍼스픽쳐스(유),195,10,6443400.0,858,4569400,589,"울보|겨울잠|오후 3시, 봄날|레이디 퍼스트|정동진독립영화제2013 섹션5",이진우,20122905.0,남자,-,-,-,-,-,-,-,-,-,이진우,이진우,이진우,20122905,남자,감독,"울보|겨울잠|오후 3시, 봄날|레이디 퍼스트|정동진독립영화제2013 섹션5","장유상,하윤경,이서준,박혜진,정원희,송준호,주용현,윤진영,이가영,이동희,이승수,이승재,최윤진,최은비,이원우,이주영,차순배,이정현",장유상,20189669,남자,배우,세트플레이|울보|조선마술사|거인|면허시험|선물|해바라기의 습격|밤벌레|동명이인 프로젝트 시즌2|원나잇 온리
